ref_date,type_of_crop,price_year_before,price_current_year,price_diff_dollars_per_ton,percent_diff
1952,"Peas, dry",109.5,109.83,0.33,0.3
1974,Barley,105.56,105.89,0.33,0.31
1959,"Peas, dry",93.17,93.5,0.33,0.35
1940,"Wheat, all",28.44,28.56,0.12,0.42
1918,"Rye, all",67.33,67.62,0.29,0.43
1977,"Sugar beets",30.5,30.63,0.13,0.43
1964,Flaxseed,114.17,114.67,0.5,0.44
1983,Buckwheat,318.5,320,1.5,0.47
1971,"Corn for silage",8.44,8.48,0.04,0.47
1950,"Tame hay",1.88,1.89,0.01,0.53
1962,"Peas, dry",92.17,92.67,0.5,0.54
1965,"Wheat, all",60.67,61,0.33,0.54
1959,"Mixed grains",41.44,41.67,0.23,0.56
1923,Flaxseed,69,69.4,0.4,0.58
1963,"Beans, all dry (white and coloured)",161,162,1,0.62
1925,"Wheat, all",53.11,53.44,0.33,0.62
1954,"Peas, dry",101.17,101.83,0.66,0.65
1955,"Peas, dry",101.83,102.5,0.67,0.66
1912,Buckwheat,29.2,29.4,0.2,0.68
1960,Oats,47.33,47.67,0.34,0.72
1957,"Tame hay",17.63,17.76,0.13,0.74
1970,"Peas, dry",89.83,90.5,0.67,0.75
1945,Flaxseed,98.8,99.6,0.8,0.81
1966,Oats,50.56,51,0.44,0.87
1954,"Rye, all",37,37.33,0.33,0.89
1977,"Sunflower seed",221,223,2,0.9
1962,"Wheat, all",60.33,60.89,0.56,0.93
1959,"Rye, all",35.83,36.17,0.34,0.95
1910,"Tame hay",1.03,1.04,0.01,0.97
1955,Barley,44.89,45.33,0.44,0.98
1970,"Tame hay",20.98,21.2,0.22,1.05
1959,Buckwheat,46.5,47,0.5,1.08
1958,"Corn for grain",46.5,47,0.5,1.08
1942,"Peas, dry",74,74.8,0.8,1.08
1966,"Corn for silage",8.94,9.04,0.1,1.12
1951,"Corn for silage",0.86,0.87,0.01,1.16
1910,"Peas, dry",37.33,37.78,0.45,1.21
1941,"Beans, all dry (white and coloured)",82,83,1,1.22
1965,"Rye, all",40.83,41.33,0.5,1.22
1959,"Wheat, all",53.89,54.56,0.67,1.24
1969,"Sugar beets",18.43,18.67,0.24,1.3
1967,"Corn for silage",9.04,9.16,0.12,1.33
1967,"Mixed grains",49.11,49.78,0.67,1.36
1925,"Corn for silage",0.67,0.68,0.01,1.49
1974,Flaxseed,366,371.67,5.67,1.55
1914,"Sugar beets",0.62,0.63,0.01,1.61
1963,"Peas, dry",92.67,94.17,1.5,1.62
1955,Oats,47.33,48.11,0.78,1.65
1950,Oats,53.22,54.11,0.89,1.67
1965,"Peas, dry",96.67,98.33,1.66,1.72
1965,"Beans, all dry (white and coloured)",167.5,170.5,3,1.79
1945,Oats,37.44,38.11,0.67,1.79
1955,"Beans, all dry (white and coloured)",167,170,3,1.8
1971,"Tame hay",21.2,21.59,0.39,1.84
1958,Barley,42,42.78,0.78,1.86
1966,"Canola (rapeseed)",106.67,108.67,2,1.87
1959,"Tame hay",16.99,17.31,0.32,1.88
1956,"Corn for silage",8.46,8.62,0.16,1.89
1915,"Peas, dry",64.86,66.12,1.26,1.94
1964,Soybeans,103,105,2,1.94
1965,Buckwheat,51.25,52.25,1,1.95
1912,"Mixed grains",28.22,28.78,0.56,1.98
1918,"Wheat, all",77.33,78.89,1.56,2.02
1965,"Corn for grain",49,50,1,2.04
1940,"Tame hay",0.96,0.98,0.02,2.08
1967,"Sugar beets",18.12,18.5,0.38,2.1
1962,"Corn for grain",46.5,47.5,1,2.15
1981,"Corn for silage",25.12,25.66,0.54,2.15
1977,"Tame hay",47.3,48.32,1.02,2.16
1910,"Beans, all dry (white and coloured)",73,74.6,1.6,2.19
1926,"Corn for grain",45.5,46.5,1,2.2
1961,"Corn for grain",45.5,46.5,1,2.2
1948,"Peas, dry",105.5,107.83,2.33,2.21
1944,"Rye, all",36.5,37.33,0.83,2.27
1937,"Tame hay",0.88,0.9,0.02,2.27
1984,"Mustard seed",345,353,8,2.32
1946,"Mixed grains",33.22,34,0.78,2.35
1926,"Tame hay",1.27,1.3,0.03,2.36
1950,"Sunflower seed",84,86,2,2.38
1960,"Mixed grains",41.67,42.67,1,2.4
1966,Barley,50.33,51.56,1.23,2.44
1951,Buckwheat,61,62.5,1.5,2.46
1961,Soybeans,81,83,2,2.47
1951,"Peas, dry",106.83,109.5,2.67,2.5
1963,"Wheat, all",60.89,62.44,1.55,2.55
1969,"Corn for grain",51.67,53,1.33,2.57
1961,"Canola (rapeseed)",77.33,79.33,2,2.59
1961,"Peas, dry",89.83,92.17,2.34,2.6
1964,"Peas, dry",94.17,96.67,2.5,2.65
1918,Barley,56.11,57.67,1.56,2.78
1974,"Mixed grains",94.56,97.22,2.66,2.81
1924,Buckwheat,42.2,43.4,1.2,2.84
1909,"Mixed grains",28,28.8,0.8,2.86
1915,"Corn for grain",34.5,35.5,1,2.9
1963,"Sugar beets",19.72,20.3,0.58,2.94
1929,Barley,37.22,38.33,1.11,2.98
1958,"Wheat, all",52.33,53.89,1.56,2.98
1935,Buckwheat,27.83,28.67,0.84,3.02
1956,"Tame hay",17.11,17.63,0.52,3.04
1964,Barley,47.33,48.78,1.45,3.06
1946,"Wheat, all",50.33,51.89,1.56,3.1
1943,Soybeans,64,66,2,3.12
1965,"Mixed grains",46.11,47.56,1.45,3.14
1965,Barley,48.78,50.33,1.55,3.18
1954,"Mixed grains",41.67,43,1.33,3.19
1976,"Beans, all dry (white and coloured)",343,354,11,3.21
1964,"Mixed grains",44.67,46.11,1.44,3.22
1966,"Mixed grains",47.56,49.11,1.55,3.26
1975,"Corn for silage",17.95,18.55,0.6,3.34
1944,"Sugar beets",1.19,1.23,0.04,3.36
1945,"Corn for silage",0.59,0.61,0.02,3.39
1964,"Beans, all dry (white and coloured)",162,167.5,5.5,3.4
1958,Flaxseed,99.6,103,3.4,3.41
1935,Flaxseed,47.5,49.17,1.67,3.52
1954,Flaxseed,96,99.4,3.4,3.54
1923,"Beans, all dry (white and coloured)",102.86,106.57,3.71,3.61
1966,"Wheat, all",61,63.22,2.22,3.64
1911,"Mixed grains",27.22,28.22,1,3.67
1960,Barley,42.44,44,1.56,3.68
1926,Buckwheat,40.67,42.17,1.5,3.69
1980,"Canola (rapeseed)",270.75,280.75,10,3.69
1984,"Peas, dry",216.33,224.33,8,3.7
1942,Buckwheat,33.5,34.75,1.25,3.73
1940,"Peas, dry",58,60.2,2.2,3.79
1955,"Canola (rapeseed)",79,82,3,3.8
1978,"Sunflower seed",223,231.5,8.5,3.81
1976,Flaxseed,257.67,267.67,10,3.88
1964,Oats,45.67,47.44,1.77,3.88
1958,Oats,42.67,44.33,1.66,3.89
1972,"Mustard seed",76.67,79.67,3,3.91
1961,Buckwheat,50.75,52.75,2,3.94
1918,"Mixed grains",55,57.22,2.22,4.04
1966,"Peas, dry",98.33,102.33,4,4.07
1968,"Corn for silage",9.16,9.54,0.38,4.15
1955,"Corn for silage",8.12,8.46,0.34,4.19
1955,"Tame hay",16.42,17.11,0.69,4.2
1978,"Mixed grains",80.11,83.56,3.45,4.31
1979,Buckwheat,163.33,170.5,7.17,4.39
1950,Flaxseed,131.6,137.4,5.8,4.41
1942,"Mixed grains",25,26.11,1.11,4.44
1910,Oats,24.88,26,1.12,4.5
1949,"Corn for silage",0.88,0.92,0.04,4.55
1933,"Sugar beets",0.66,0.69,0.03,4.55
1963,"Sunflower seed",102,106.67,4.67,4.58
1984,"Wheat, all",164.67,172.22,7.55,4.58
1919,Oats,55.56,58.11,2.55,4.59
1926,"Mixed grains",33.67,35.22,1.55,4.6
1979,"Corn for silage",18.88,19.76,0.88,4.66
1963,"Corn for silage",8.1,8.48,0.38,4.69
1948,"Sugar beets",1.49,1.56,0.07,4.7
1978,"Sugar beets",30.63,32.07,1.44,4.7
1950,Buckwheat,58.25,61,2.75,4.72
1926,Barley,34.44,36.11,1.67,4.85
1979,"Tame hay",48.34,50.69,2.35,4.86
1979,Flaxseed,279.33,293,13.67,4.89
1983,"Wheat, all",157,164.67,7.67,4.89
1961,"Wheat, all",57.44,60.33,2.89,5.03
1970,"Mixed grains",41.78,43.89,2.11,5.05
1909,"Tame hay",0.98,1.03,0.05,5.1
1958,"Beans, all dry (white and coloured)",137,144,7,5.11
1970,"Wheat, all",52.22,54.89,2.67,5.11
1984,Oats,121.44,127.67,6.23,5.13
1909,"Sugar beets",0.58,0.61,0.03,5.17
1954,Buckwheat,48,50.5,2.5,5.21
1942,Oats,29.67,31.22,1.55,5.22
1945,Buckwheat,42.75,45,2.25,5.26
1945,"Corn for grain",38,40,2,5.26
1960,"Wheat, all",54.56,57.44,2.88,5.28
1944,"Tame hay",1.32,1.39,0.07,5.3
1961,Oats,47.67,50.22,2.55,5.35
1928,"Corn for grain",46.5,49,2.5,5.38
1909,"Beans, all dry (white and coloured)",69.25,73,3.75,5.42
1937,Buckwheat,33.67,35.5,1.83,5.44
1955,"Wheat, all",53.11,56,2.89,5.44
1970,Oats,42.67,45,2.33,5.46
1909,"Wheat, all",34.25,36.12,1.87,5.46
1923,Buckwheat,40,42.2,2.2,5.5
1915,Buckwheat,32.6,34.4,1.8,5.52
1925,Flaxseed,75.17,79.33,4.16,5.53
1946,Oats,38.11,40.22,2.11,5.54
1959,"Beans, all dry (white and coloured)",144,152,8,5.56
1971,Buckwheat,59.67,63,3.33,5.58
1950,"Peas, dry",101.17,106.83,5.66,5.59
1922,"Wheat, all",41.67,44,2.33,5.59
1924,"Sugar beets",0.71,0.75,0.04,5.63
1924,"Tame hay",1.24,1.31,0.07,5.65
1944,Barley,35.33,37.33,2,5.66
1945,"Mixed grains",31.44,33.22,1.78,5.66
1966,"Rye, all",41.33,43.67,2.34,5.66
1945,"Beans, all dry (white and coloured)",105.5,111.5,6,5.69
1967,Buckwheat,61.5,65,3.5,5.69
1977,"Peas, dry",170,179.67,9.67,5.69
1943,Flaxseed,77,81.4,4.4,5.71
1944,"Wheat, all",40.67,43,2.33,5.73
1982,"Tame hay",58.92,62.31,3.39,5.75
1978,Barley,81,85.67,4.67,5.77
1940,"Beans, all dry (white and coloured)",77.4,82,4.6,5.94
1962,"Mustard seed",84,89,5,5.95
1979,"Peas, dry",156.33,165.67,9.34,5.97
1942,"Rye, all",22.33,23.67,1.34,6
1952,"Beans, all dry (white and coloured)",165.5,175.5,10,6.04
1978,Buckwheat,154,163.33,9.33,6.06
1919,"Sugar beets",1.13,1.2,0.07,6.19
1984,Barley,130.44,138.56,8.12,6.23
1959,"Corn for silage",8.54,9.08,0.54,6.32
1957,"Sunflower seed",94,100,6,6.38
1977,"Canola (rapeseed)",262.25,279,16.75,6.39
1977,Buckwheat,144.67,154,9.33,6.45
1956,Soybeans,77,82,5,6.49
1946,"Peas, dry",101.83,108.5,6.67,6.55
1922,"Corn for grain",38,40.5,2.5,6.58
1965,Oats,47.44,50.56,3.12,6.58
1917,"Tame hay",1.21,1.29,0.08,6.61
1975,"Rye, all",90.5,96.5,6,6.63
1909,"Peas, dry",35,37.33,2.33,6.66
1939,"Tame hay",0.9,0.96,0.06,6.67
1968,"Tame hay",19.87,21.2,1.33,6.69
1954,"Beans, all dry (white and coloured)",156.5,167,10.5,6.71
1963,"Mustard seed",89,95,6,6.74
1959,Oats,44.33,47.33,3,6.77
1956,"Sunflower seed",88,94,6,6.82
1949,"Tame hay",1.76,1.88,0.12,6.82
1954,"Tame hay",15.37,16.42,1.05,6.83
1971,Soybeans,102,109,7,6.86
1942,Barley,27.44,29.33,1.89,6.89
1909,Barley,23.62,25.25,1.63,6.9
1976,"Corn for silage",18.55,19.85,1.3,7.01
1937,Oats,30.11,32.22,2.11,7.01
1954,Oats,44.22,47.33,3.11,7.03
1970,"Mustard seed",80,85.67,5.67,7.09
1934,"Beans, all dry (white and coloured)",46.83,50.17,3.34,7.13
1958,"Mixed grains",38.67,41.44,2.77,7.16
1913,Flaxseed,47,50.4,3.4,7.23
1924,"Peas, dry",73.11,78.44,5.33,7.29
1949,Oats,49.56,53.22,3.66,7.38
1941,"Wheat, all",28.56,30.67,2.11,7.39
1967,"Tame hay",18.5,19.87,1.37,7.41
1965,"Corn for silage",8.32,8.94,0.62,7.45
1951,Soybeans,94,101,7,7.45
1912,"Corn for silage",0.67,0.72,0.05,7.46
1970,Barley,41.56,44.67,3.11,7.48
1954,"Corn for grain",46.5,50,3.5,7.53
1914,Flaxseed,50.4,54.2,3.8,7.54
1948,"Mixed grains",42.33,45.56,3.23,7.63
1978,"Corn for silage",17.54,18.88,1.34,7.64
1946,Barley,36.33,39.11,2.78,7.65
1978,Oats,76.78,82.67,5.89,7.67
1955,"Sugar beets",13.28,14.3,1.02,7.68
1933,"Corn for silage",0.39,0.42,0.03,7.69
1954,"Corn for silage",7.54,8.12,0.58,7.69
1911,Oats,26,28,2,7.69
1956,"Rye, all",36.83,39.67,2.84,7.71
1951,"Wheat, all",61.89,66.67,4.78,7.72
1933,Buckwheat,23.67,25.5,1.83,7.73
1918,Flaxseed,120.8,130.2,9.4,7.78
1981,"Beans, all dry (white and coloured)",628,677,49,7.8
1984,Buckwheat,320,345,25,7.81
1914,"Corn for grain",32,34.5,2.5,7.81
1913,"Wheat, all",31.33,33.78,2.45,7.82
1971,"Sugar beets",17.43,18.8,1.37,7.86
1960,Buckwheat,47,50.75,3.75,7.98
1964,"Tame hay",17.46,18.86,1.4,8.02
1962,"Beans, all dry (white and coloured)",149,161,12,8.05
1919,"Corn for silage",0.99,1.07,0.08,8.08
1970,"Corn for grain",53,57.33,4.33,8.17
1937,"Rye, all",28.5,30.83,2.33,8.18
1944,"Peas, dry",81.8,88.5,6.7,8.19
1936,"Sugar beets",0.61,0.66,0.05,8.2
1944,"Beans, all dry (white and coloured)",97.5,105.5,8,8.21
1918,Oats,51.33,55.56,4.23,8.24
1924,Flaxseed,69.4,75.17,5.77,8.31
1942,"Wheat, all",30.67,33.22,2.55,8.31
1929,"Corn for silage",0.6,0.65,0.05,8.33
1911,"Sugar beets",0.6,0.65,0.05,8.33
1942,"Sugar beets",0.84,0.91,0.07,8.33
1963,"Corn for grain",47.5,51.5,4,8.42
1927,Oats,36.78,39.89,3.11,8.46
1927,"Mixed grains",35.22,38.22,3,8.52
1969,Buckwheat,62.5,67.83,5.33,8.53
1939,"Mixed grains",20.67,22.44,1.77,8.56
1967,"Mustard seed",105,114,9,8.57
1911,"Beans, all dry (white and coloured)",74.6,81,6.4,8.58
1955,Flaxseed,99.4,108,8.6,8.65
1964,"Canola (rapeseed)",110.67,120.33,9.66,8.73
1911,"Rye, all",27.57,30,2.43,8.81
1917,"Sugar beets",0.68,0.74,0.06,8.82
1955,Buckwheat,50.5,55,4.5,8.91
1951,"Corn for grain",50.5,55,4.5,8.91
1944,Buckwheat,39.25,42.75,3.5,8.92
1934,Buckwheat,25.5,27.83,2.33,9.14
1927,Barley,36.11,39.44,3.33,9.22
1941,Buckwheat,30.67,33.5,2.83,9.23
1962,"Canola (rapeseed)",79.33,86.67,7.34,9.25
1943,"Peas, dry",74.8,81.8,7,9.36
1961,"Tame hay",16.63,18.19,1.56,9.38
1942,"Corn for grain",26.5,29,2.5,9.43
1960,"Sugar beets",14.3,15.67,1.37,9.58
1960,"Corn for grain",41.5,45.5,4,9.64
1962,Soybeans,83,91,8,9.64
1939,Buckwheat,29,31.83,2.83,9.76
1937,"Mixed grains",26.22,28.78,2.56,9.76
1911,Buckwheat,26.6,29.2,2.6,9.77
1984,"Mixed grains",122.78,134.78,12,9.77
1984,"Tame hay",76.26,83.77,7.51,9.85
1928,"Rye, all",38.12,41.88,3.76,9.86
1958,"Sugar beets",14.7,16.15,1.45,9.86
1928,Flaxseed,67.5,74.17,6.67,9.88
1963,"Rye, all",42,46.17,4.17,9.93
1926,"Beans, all dry (white and coloured)",100.29,110.29,10,9.97
1975,"Tame hay",48.54,53.39,4.85,9.99
1920,"Tame hay",2.4,2.64,0.24,10
1972,"Sugar beets",18.8,20.7,1.9,10.11
1947,"Corn for silage",0.69,0.76,0.07,10.14
1926,"Rye, all",36.88,40.62,3.74,10.14
1939,"Corn for silage",0.49,0.54,0.05,10.2
1937,"Wheat, all",39,43,4,10.26
1971,"Beans, all dry (white and coloured)",185,204,19,10.27
1947,"Wheat, all",51.89,57.22,5.33,10.27
1947,"Sugar beets",1.35,1.49,0.14,10.37
1950,"Rye, all",49.83,55,5.17,10.38
1946,Buckwheat,45,49.75,4.75,10.56
1913,"Sugar beets",0.56,0.62,0.06,10.71
1930,"Corn for silage",0.65,0.72,0.07,10.77
1951,Flaxseed,137.4,152.2,14.8,10.77
1950,"Mixed grains",45.33,50.22,4.89,10.79
1914,Buckwheat,29.4,32.6,3.2,10.88
1912,"Peas, dry",45.89,50.89,5,10.9
1967,Flaxseed,106.67,118.33,11.66,10.93
1974,Soybeans,210,233,23,10.95
1978,"Corn for grain",96.33,107,10.67,11.08
1912,"Beans, all dry (white and coloured)",81,90,9,11.11
1966,Soybeans,99,110,11,11.11
1929,Buckwheat,41.67,46.33,4.66,11.18
1939,"Peas, dry",52.17,58,5.83,11.18
1937,"Peas, dry",51.67,57.5,5.83,11.28
1929,"Wheat, all",46,51.22,5.22,11.35
1927,"Sugar beets",0.79,0.88,0.09,11.39
1971,"Sunflower seed",96.33,107.33,11,11.42
1926,"Peas, dry",72.56,80.89,8.33,11.48
1916,"Sugar beets",0.61,0.68,0.07,11.48
1924,"Corn for grain",47.5,53,5.5,11.58
1961,"Mixed grains",42.67,47.67,5,11.72
1919,Barley,57.67,64.44,6.77,11.74
1910,Barley,25.25,28.22,2.97,11.76
1956,"Corn for grain",42.5,47.5,5,11.76
1929,"Peas, dry",73.22,81.89,8.67,11.84
1962,Buckwheat,52.75,59,6.25,11.85
1943,"Corn for grain",29,32.5,3.5,12.07
1939,Barley,22.11,24.78,2.67,12.08
1975,"Beans, all dry (white and coloured)",306,343,37,12.09
1944,Soybeans,66,74,8,12.12
1933,"Tame hay",0.82,0.92,0.1,12.2
1958,"Sunflower seed",100,112.5,12.5,12.5
1914,"Tame hay",1.2,1.35,0.15,12.5
1946,"Beans, all dry (white and coloured)",111.5,125.5,14,12.56
1934,"Peas, dry",41,46.17,5.17,12.61
1919,"Mixed grains",57.22,64.44,7.22,12.62
1934,"Mixed grains",19.33,21.78,2.45,12.67
1983,Oats,107.78,121.44,13.66,12.67
1981,"Peas, dry",200,225.33,25.33,12.67
1929,"Mixed grains",35.78,40.33,4.55,12.72
1980,Flaxseed,293,330.33,37.33,12.74
1965,"Tame hay",18.86,21.27,2.41,12.78
1965,"Sugar beets",16.22,18.3,2.08,12.82
1965,"Mustard seed",93,105,12,12.9
1953,"Canola (rapeseed)",73.5,83,9.5,12.93
1943,Buckwheat,34.75,39.25,4.5,12.95
1946,"Tame hay",1.39,1.57,0.18,12.95
1909,"Corn for grain",27,30.5,3.5,12.96
1926,Oats,32.56,36.78,4.22,12.96
1948,"Wheat, all",57.22,64.67,7.45,13.02
1927,Buckwheat,42.17,47.67,5.5,13.04
1934,"Corn for grain",23,26,3,13.04
1946,"Corn for silage",0.61,0.69,0.08,13.11
1919,"Peas, dry",101.12,114.44,13.32,13.17
1963,Soybeans,91,103,12,13.19
1950,Soybeans,83,94,11,13.25
1918,Buckwheat,61.6,69.8,8.2,13.31
1961,Barley,44,49.89,5.89,13.39
1976,Buckwheat,127.5,144.67,17.17,13.47
1941,"Sugar beets",0.74,0.84,0.1,13.51
1951,"Rye, all",55,62.5,7.5,13.64
1939,"Sugar beets",0.73,0.83,0.1,13.7
1938,"Sugar beets",0.64,0.73,0.09,14.06
1978,"Rye, all",85.33,97.5,12.17,14.26
1959,Flaxseed,103,117.8,14.8,14.37
1946,"Sugar beets",1.18,1.35,0.17,14.41
1961,"Corn for silage",8.12,9.3,1.18,14.53
1970,Soybeans,89,102,13,14.61
1950,"Sugar beets",1.5,1.72,0.22,14.67
1929,Oats,37.11,42.56,5.45,14.69
1950,"Corn for grain",44,50.5,6.5,14.77
1983,"Corn for silage",25.68,29.51,3.83,14.91
1983,"Mixed grains",106.78,122.78,16,14.98
1945,"Peas, dry",88.5,101.83,13.33,15.06
1965,"Sunflower seed",105.67,121.67,16,15.14
1939,Oats,21.78,25.11,3.33,15.29
1914,"Beans, all dry (white and coloured)",87.8,101.25,13.45,15.32
1949,Barley,50.22,58,7.78,15.49
1936,"Corn for silage",0.45,0.52,0.07,15.56
1972,"Tame hay",21.59,24.96,3.37,15.61
1946,Soybeans,70,81,11,15.71
1961,Flaxseed,111.33,128.83,17.5,15.72
1939,"Corn for grain",19,22,3,15.79
1948,"Corn for silage",0.76,0.88,0.12,15.79
1983,Barley,112.33,130.44,18.11,16.12
1983,"Rye, all",98.67,114.67,16,16.22
1966,"Corn for grain",50,58.33,8.33,16.66
1929,"Tame hay",1.19,1.39,0.2,16.81
1976,"Canola (rapeseed)",224.5,262.25,37.75,16.82
1967,"Beans, all dry (white and coloured)",151.5,177,25.5,16.83
1944,"Corn for grain",32.5,38,5.5,16.92
1958,"Corn for silage",7.3,8.54,1.24,16.99
1934,"Wheat, all",26.11,30.56,4.45,17.04
1945,"Wheat, all",43,50.33,7.33,17.05
1978,Soybeans,240,281,41,17.08
1970,"Beans, all dry (white and coloured)",158,185,27,17.09
1969,"Sunflower seed",103.33,121,17.67,17.1
1928,"Beans, all dry (white and coloured)",108.29,127,18.71,17.28
1923,"Corn for grain",40.5,47.5,7,17.28
1936,Flaxseed,49.17,57.67,8.5,17.29
1936,Buckwheat,28.67,33.67,5,17.44
1943,"Beans, all dry (white and coloured)",83,97.5,14.5,17.47
1920,"Sugar beets",1.2,1.41,0.21,17.5
1960,"Sunflower seed",77,90.5,13.5,17.53
1966,Buckwheat,52.25,61.5,9.25,17.7
1947,"Tame hay",1.57,1.85,0.28,17.83
1943,"Corn for silage",0.56,0.66,0.1,17.86
1943,"Tame hay",1.12,1.32,0.2,17.86
1980,"Wheat, all",156.78,184.89,28.11,17.93
1934,"Rye, all",18.5,21.83,3.33,18
1911,"Corn for grain",27.5,32.5,5,18.18
1960,Soybeans,68.5,81,12.5,18.25
1974,"Corn for grain",114,135,21,18.42
1946,Flaxseed,99.6,118,18.4,18.47
1962,"Sunflower seed",86,102,16,18.6
1934,Oats,20.78,24.67,3.89,18.72
1941,Barley,23.11,27.44,4.33,18.74
1933,Barley,17.11,20.33,3.22,18.82
1941,"Corn for silage",0.47,0.56,0.09,19.15
1980,"Corn for grain",131.5,156.75,25.25,19.2
1972,"Peas, dry",89.83,107.17,17.34,19.3
1929,Flaxseed,74.17,88.5,14.33,19.32
1980,Soybeans,262,313,51,19.47
1915,Flaxseed,54.2,64.8,10.6,19.56
1961,"Rye, all",35.67,42.67,7,19.62
1926,"Sugar beets",0.66,0.79,0.13,19.7
1972,"Sunflower seed",107.33,128.67,21.34,19.88
1941,"Corn for grain",22,26.5,4.5,20.45
1943,Barley,29.33,35.33,6,20.46
1980,"Rye, all",140.33,169.33,29,20.67
1941,"Rye, all",18.5,22.33,3.83,20.7
1980,"Peas, dry",165.67,200,34.33,20.72
1919,Flaxseed,130.2,157.2,27,20.74
1922,"Sugar beets",0.72,0.87,0.15,20.83
1941,"Mixed grains",20.67,25,4.33,20.95
1979,Oats,82.67,100.11,17.44,21.1
1944,Flaxseed,81.4,98.8,17.4,21.38
1941,"Tame hay",0.98,1.19,0.21,21.43
1911,"Peas, dry",37.78,45.89,8.11,21.47
1919,"Wheat, all",78.89,95.89,17,21.55
1972,"Mixed grains",43.67,53.11,9.44,21.62
1972,"Wheat, all",54,65.78,11.78,21.81
1911,"Tame hay",1.04,1.27,0.23,22.12
1983,"Tame hay",62.31,76.26,13.95,22.39
1933,"Wheat, all",21.33,26.11,4.78,22.41
1943,"Wheat, all",33.22,40.67,7.45,22.43
1933,"Mixed grains",15.78,19.33,3.55,22.5
1947,Buckwheat,49.75,61,11.25,22.61
1974,"Canola (rapeseed)",253,310.25,57.25,22.63
1972,"Corn for silage",8.48,10.4,1.92,22.64
1914,"Wheat, all",33.78,41.44,7.66,22.68
1974,Buckwheat,115.8,142.25,26.45,22.84
1979,"Mixed grains",83.56,102.67,19.11,22.87
1979,"Corn for grain",107,131.5,24.5,22.9
1941,"Peas, dry",60.2,74,13.8,22.92
1916,"Mixed grains",30.44,37.44,7,23
1933,Oats,16.89,20.78,3.89,23.03
1978,"Wheat, all",101.11,124.44,23.33,23.07
1950,"Beans, all dry (white and coloured)",143,176,33,23.08
1919,"Tame hay",1.95,2.4,0.45,23.08
1952,"Sunflower seed",82,101,19,23.17
1916,"Peas, dry",66.12,81.62,15.5,23.44
1934,Barley,20.33,25.11,4.78,23.51
1936,"Peas, dry",41.83,51.67,9.84,23.52
1984,"Sunflower seed",281.5,348.5,67,23.8
1934,"Corn for silage",0.42,0.52,0.1,23.81
1956,"Mustard seed",94.5,117,22.5,23.81
1924,Oats,29.78,36.89,7.11,23.88
1980,"Tame hay",50.69,62.87,12.18,24.03
1943,"Mixed grains",26.11,32.44,6.33,24.24
1939,"Beans, all dry (white and coloured)",62.17,77.4,15.23,24.5
1947,"Mixed grains",34,42.33,8.33,24.5
1939,"Rye, all",17,21.17,4.17,24.53
1924,Barley,31.44,39.22,7.78,24.75
1973,"Tame hay",24.96,31.31,6.35,25.44
1941,Flaxseed,43.8,55,11.2,25.57
1979,"Wheat, all",124.44,156.78,32.34,25.99
1956,"Sugar beets",14.3,18.07,3.77,26.36
1974,"Corn for silage",14.2,17.95,3.75,26.41
1911,"Corn for silage",0.53,0.67,0.14,26.42
1980,"Corn for silage",19.76,25.12,5.36,27.13
1916,Flaxseed,64.8,82.4,17.6,27.16
1979,Barley,85.67,109.11,23.44,27.36
1943,Oats,31.22,39.78,8.56,27.42
1933,"Peas, dry",32.17,41,8.83,27.45
1936,"Mixed grains",20.56,26.22,5.66,27.53
1933,"Rye, all",14.5,18.5,4,27.59
1963,"Canola (rapeseed)",86.67,110.67,24,27.69
1933,"Corn for grain",18,23,5,27.78
1941,Oats,23.22,29.67,6.45,27.78
1981,"Sunflower seed",197.5,252.5,55,27.85
1974,"Peas, dry",179,229,50,27.93
1981,"Mustard seed",272,348,76,27.94
1969,"Canola (rapeseed)",80,102.5,22.5,28.12
1960,"Mustard seed",77,98.67,21.67,28.14
1936,"Wheat, all",30.33,39,8.67,28.59
1914,"Peas, dry",50.25,64.86,14.61,29.07
1915,"Beans, all dry (white and coloured)",101.25,130.75,29.5,29.14
1924,"Mixed grains",28.78,37.33,8.55,29.71
1980,"Mustard seed",209.67,272,62.33,29.73
1914,Oats,26.11,34,7.89,30.22
1939,Flaxseed,45.67,59.5,13.83,30.28
1917,Oats,39.33,51.33,12,30.51
1914,Barley,25.67,33.56,7.89,30.74
1943,"Sugar beets",0.91,1.19,0.28,30.77
1983,Flaxseed,246.33,322.67,76.34,30.99
1983,"Mustard seed",263.33,345,81.67,31.01
1978,Flaxseed,213,279.33,66.33,31.14
1972,Soybeans,109,143,34,31.19
1933,"Beans, all dry (white and coloured)",35.67,46.83,11.16,31.29
1947,Barley,39.11,51.44,12.33,31.53
1972,Barley,42.56,56.44,13.88,32.61
1972,"Corn for grain",50,66.33,16.33,32.66
1916,Buckwheat,34.4,45.8,11.4,33.14
1909,"Corn for silage",0.42,0.56,0.14,33.33
1972,Oats,43.33,57.78,14.45,33.35
1924,"Wheat, all",39.78,53.11,13.33,33.51
1920,"Corn for silage",1.07,1.43,0.36,33.64
1918,"Corn for silage",0.74,0.99,0.25,33.78
1936,"Beans, all dry (white and coloured)",50.17,67.17,17,33.88
1909,Flaxseed,35.33,47.33,12,33.97
1936,Oats,22.44,30.11,7.67,34.18
1980,Barley,109.11,146.44,37.33,34.21
1917,Buckwheat,45.8,61.6,15.8,34.5
1980,Oats,100.11,134.67,34.56,34.52
