ref_date,type_of_crop,prior_year_avg_price,current_year_avg_price,following_year_avg_price
1933,Oats,16.89,20.78,24.67
1934,Oats,20.78,24.67,22.44
1935,Oats,24.67,22.44,30.11
1936,Oats,22.44,30.11,32.22
1937,Oats,30.11,32.22,21.78
1938,Oats,32.22,21.78,25.11
1939,Oats,21.78,25.11,23.22
1940,Oats,25.11,23.22,29.67
1941,Oats,23.22,29.67,31.22
1942,Oats,29.67,31.22,39.78
1943,Oats,31.22,39.78,37.44
1944,Oats,39.78,37.44,38.11
1945,Oats,37.44,38.11,40.22
1946,Oats,38.11,40.22,55.22
1947,Oats,40.22,55.22,49.56
1948,Oats,55.22,49.56,53.22
1949,Oats,49.56,53.22,54.11
1950,Oats,53.22,54.11,54
1951,Oats,54.11,54,50.33
1952,Oats,54,50.33,44.22
1953,Oats,50.33,44.22,47.33
1954,Oats,44.22,47.33,48.11
1955,Oats,47.33,48.11,45.67
1956,Oats,48.11,45.67,42.67
1957,Oats,45.67,42.67,44.33
1958,Oats,42.67,44.33,47.33
1959,Oats,44.33,47.33,47.67
1960,Oats,47.33,47.67,50.22
1961,Oats,47.67,50.22,47
1962,Oats,50.22,47,45.67
1963,Oats,47,45.67,47.44
1964,Oats,45.67,47.44,50.56
1965,Oats,47.44,50.56,51
1966,Oats,50.56,51,50.11
1967,Oats,51,50.11,44.89
1968,Oats,50.11,44.89,42.67
1969,Oats,44.89,42.67,45
1970,Oats,42.67,45,43.33
1971,Oats,45,43.33,57.78
1972,Oats,43.33,57.78,101.78
1973,Oats,57.78,101.78,100.89
1974,Oats,101.78,100.89,96.78
1975,Oats,100.89,96.78,84.67
1976,Oats,96.78,84.67,76.78
1977,Oats,84.67,76.78,82.67
1978,Oats,76.78,82.67,100.11
1979,Oats,82.67,100.11,134.67
1980,Oats,100.11,134.67,126.22
1981,Oats,134.67,126.22,107.78
1982,Oats,126.22,107.78,121.44
1983,Oats,107.78,121.44,127.67
1984,Oats,121.44,127.67,NULL
1908,"Peas, dry",NULL,35,37.33
1909,"Peas, dry",35,37.33,37.78
1910,"Peas, dry",37.33,37.78,45.89
1911,"Peas, dry",37.78,45.89,50.89
1912,"Peas, dry",45.89,50.89,50.25
1913,"Peas, dry",50.89,50.25,64.86
1914,"Peas, dry",50.25,64.86,66.12
1915,"Peas, dry",64.86,66.12,81.62
1916,"Peas, dry",66.12,81.62,121.88
1917,"Peas, dry",81.62,121.88,101.12
1918,"Peas, dry",121.88,101.12,114.44
1919,"Peas, dry",101.12,114.44,89.22
1920,"Peas, dry",114.44,89.22,81.11
1921,"Peas, dry",89.22,81.11,80.78
1922,"Peas, dry",81.11,80.78,73.11
1923,"Peas, dry",80.78,73.11,78.44
1924,"Peas, dry",73.11,78.44,72.56
1925,"Peas, dry",78.44,72.56,80.89
1926,"Peas, dry",72.56,80.89,79.89
1927,"Peas, dry",80.89,79.89,73.22
1928,"Peas, dry",79.89,73.22,81.89
1929,"Peas, dry",73.22,81.89,57
1930,"Peas, dry",81.89,57,44.17
1931,"Peas, dry",57,44.17,32.17
1932,"Peas, dry",44.17,32.17,41
1933,"Peas, dry",32.17,41,46.17
1934,"Peas, dry",41,46.17,41.83
1935,"Peas, dry",46.17,41.83,51.67
1936,"Peas, dry",41.83,51.67,57.5
1937,"Peas, dry",51.67,57.5,52.17
1938,"Peas, dry",57.5,52.17,58
1939,"Peas, dry",52.17,58,60.2
1940,"Peas, dry",58,60.2,74
1941,"Peas, dry",60.2,74,74.8
1942,"Peas, dry",74,74.8,81.8
1943,"Peas, dry",74.8,81.8,88.5
1944,"Peas, dry",81.8,88.5,101.83
1945,"Peas, dry",88.5,101.83,108.5
1946,"Peas, dry",101.83,108.5,105.5
1947,"Peas, dry",108.5,105.5,107.83
1948,"Peas, dry",105.5,107.83,101.17
1949,"Peas, dry",107.83,101.17,106.83
1950,"Peas, dry",101.17,106.83,109.5
1951,"Peas, dry",106.83,109.5,109.83
1952,"Peas, dry",109.5,109.83,101.17
1953,"Peas, dry",109.83,101.17,101.83
1954,"Peas, dry",101.17,101.83,102.5
1955,"Peas, dry",101.83,102.5,100.33
1956,"Peas, dry",102.5,100.33,99.83
1957,"Peas, dry",100.33,99.83,93.17
1958,"Peas, dry",99.83,93.17,93.5
1959,"Peas, dry",93.17,93.5,89.83
1960,"Peas, dry",93.5,89.83,92.17
1961,"Peas, dry",89.83,92.17,92.67
1962,"Peas, dry",92.17,92.67,94.17
1963,"Peas, dry",92.67,94.17,96.67
1964,"Peas, dry",94.17,96.67,98.33
1965,"Peas, dry",96.67,98.33,102.33
1966,"Peas, dry",98.33,102.33,97.17
1967,"Peas, dry",102.33,97.17,94
1968,"Peas, dry",97.17,94,89.83
1969,"Peas, dry",94,89.83,90.5
1970,"Peas, dry",89.83,90.5,89.83
1971,"Peas, dry",90.5,89.83,107.17
1972,"Peas, dry",89.83,107.17,179
1973,"Peas, dry",107.17,179,229
1974,"Peas, dry",179,229,174.5
1975,"Peas, dry",229,174.5,170
1976,"Peas, dry",174.5,170,179.67
1977,"Peas, dry",170,179.67,156.33
1978,"Peas, dry",179.67,156.33,165.67
1979,"Peas, dry",156.33,165.67,200
1980,"Peas, dry",165.67,200,225.33
1981,"Peas, dry",200,225.33,216.67
1982,"Peas, dry",225.33,216.67,216.33
1983,"Peas, dry",216.67,216.33,224.33
1984,"Peas, dry",216.33,224.33,NULL
1908,"Rye, all",NULL,29.43,29.43
1909,"Rye, all",29.43,29.43,27.57
1910,"Rye, all",29.43,27.57,30
1911,"Rye, all",27.57,30,29.83
1912,"Rye, all",30,29.83,26.67
1913,"Rye, all",29.83,26.67,36.33
1914,"Rye, all",26.67,36.33,34.5
1915,"Rye, all",36.33,34.5,49
1916,"Rye, all",34.5,49,67.33
1917,"Rye, all",49,67.33,67.62
1918,"Rye, all",67.33,67.62,64.38
1919,"Rye, all",67.62,64.38,59.12
1920,"Rye, all",64.38,59.12,40.88
1921,"Rye, all",59.12,40.88,36.62
1922,"Rye, all",40.88,36.62,29.25
1923,"Rye, all",36.62,29.25,43.75
1924,"Rye, all",29.25,43.75,36.88
1925,"Rye, all",43.75,36.88,40.62
1926,"Rye, all",36.88,40.62,38.12
1927,"Rye, all",40.62,38.12,41.88
1928,"Rye, all",38.12,41.88,41.38
1929,"Rye, all",41.88,41.38,22.25
1930,"Rye, all",41.38,22.25,15.33
1931,"Rye, all",22.25,15.33,14.5
1932,"Rye, all",15.33,14.5,18.5
1933,"Rye, all",14.5,18.5,21.83
1934,"Rye, all",18.5,21.83,16.5
1935,"Rye, all",21.83,16.5,28.5
1936,"Rye, all",16.5,28.5,30.83
1937,"Rye, all",28.5,30.83,17
1938,"Rye, all",30.83,17,21.17
1939,"Rye, all",17,21.17,18.5
1940,"Rye, all",21.17,18.5,22.33
1941,"Rye, all",18.5,22.33,23.67
1942,"Rye, all",22.33,23.67,36.5
1943,"Rye, all",23.67,36.5,37.33
1944,"Rye, all",36.5,37.33,53
1945,"Rye, all",37.33,53,78.17
1946,"Rye, all",53,78.17,116
1947,"Rye, all",78.17,116,53.33
1948,"Rye, all",116,53.33,49.83
1949,"Rye, all",53.33,49.83,55
1950,"Rye, all",49.83,55,62.5
1951,"Rye, all",55,62.5,57.33
1952,"Rye, all",62.5,57.33,37
1953,"Rye, all",57.33,37,37.33
1954,"Rye, all",37,37.33,36.83
1955,"Rye, all",37.33,36.83,39.67
1956,"Rye, all",36.83,39.67,35.83
1957,"Rye, all",39.67,35.83,35.83
1958,"Rye, all",35.83,35.83,36.17
1959,"Rye, all",35.83,36.17,35.67
1960,"Rye, all",36.17,35.67,42.67
1961,"Rye, all",35.67,42.67,42
1962,"Rye, all",42.67,42,46.17
1963,"Rye, all",42,46.17,40.83
1964,"Rye, all",46.17,40.83,41.33
1965,"Rye, all",40.83,41.33,43.67
1966,"Rye, all",41.33,43.67,43.5
1967,"Rye, all",43.67,43.5,41.17
1968,"Rye, all",43.5,41.17,37.83
1969,"Rye, all",41.17,37.83,37.67
1970,"Rye, all",37.83,37.67,35.17
1971,"Rye, all",37.67,35.17,52.17
1972,"Rye, all",35.17,52.17,96.33
1973,"Rye, all",52.17,96.33,90.5
1974,"Rye, all",96.33,90.5,96.5
1975,"Rye, all",90.5,96.5,85.5
1976,"Rye, all",96.5,85.5,85.33
1977,"Rye, all",85.5,85.33,97.5
1978,"Rye, all",85.33,97.5,140.33
1979,"Rye, all",97.5,140.33,169.33
1980,"Rye, all",140.33,169.33,144.5
1981,"Rye, all",169.33,144.5,98.67
1982,"Rye, all",144.5,98.67,114.67
1983,"Rye, all",98.67,114.67,106
1984,"Rye, all",114.67,106,NULL
1942,Soybeans,NULL,64,66
1943,Soybeans,64,66,74
1944,Soybeans,66,74,70
1945,Soybeans,74,70,81
1946,Soybeans,70,81,112
1947,Soybeans,81,112,85
1948,Soybeans,112,85,83
1949,Soybeans,85,83,94
1950,Soybeans,83,94,101
1951,Soybeans,94,101,94
1952,Soybeans,101,94,90
1953,Soybeans,94,90,88
1954,Soybeans,90,88,77
1955,Soybeans,88,77,82
1956,Soybeans,77,82,75.5
1957,Soybeans,82,75.5,72
1958,Soybeans,75.5,72,68.5
1959,Soybeans,72,68.5,81
1960,Soybeans,68.5,81,83
1961,Soybeans,81,83,91
1962,Soybeans,83,91,103
1963,Soybeans,91,103,105
1964,Soybeans,103,105,99
1965,Soybeans,105,99,110
1966,Soybeans,99,110,98
1967,Soybeans,110,98,90
1968,Soybeans,98,90,89
1969,Soybeans,90,89,102
1970,Soybeans,89,102,109
1971,Soybeans,102,109,143
1972,Soybeans,109,143,210
1973,Soybeans,143,210,233
1974,Soybeans,210,233,181
1975,Soybeans,233,181,259
1976,Soybeans,181,259,240
1977,Soybeans,259,240,281
1978,Soybeans,240,281,262
1979,Soybeans,281,262,313
1980,Soybeans,262,313,264
1981,Soybeans,313,264,250
1982,Soybeans,264,250,343
1983,Soybeans,250,343,277
1984,Soybeans,343,277,NULL
1908,"Sugar beets",NULL,0.58,0.61
1909,"Sugar beets",0.58,0.61,0.6
1910,"Sugar beets",0.61,0.6,0.65
1911,"Sugar beets",0.6,0.65,0.56
1912,"Sugar beets",0.65,0.56,0.62
1913,"Sugar beets",0.56,0.62,0.63
1914,"Sugar beets",0.62,0.63,0.61
1915,"Sugar beets",0.63,0.61,0.68
1916,"Sugar beets",0.61,0.68,0.74
1917,"Sugar beets",0.68,0.74,1.13
1918,"Sugar beets",0.74,1.13,1.2
1919,"Sugar beets",1.13,1.2,1.41
1920,"Sugar beets",1.2,1.41,0.72
1921,"Sugar beets",1.41,0.72,0.87
1922,"Sugar beets",0.72,0.87,0.71
1923,"Sugar beets",0.87,0.71,0.75
1924,"Sugar beets",0.71,0.75,0.66
1925,"Sugar beets",0.75,0.66,0.79
1926,"Sugar beets",0.66,0.79,0.88
1927,"Sugar beets",0.79,0.88,0.78
1928,"Sugar beets",0.88,0.78,0.75
1929,"Sugar beets",0.78,0.75,0.75
1930,"Sugar beets",0.75,0.75,0.69
1931,"Sugar beets",0.75,0.69,0.66
1932,"Sugar beets",0.69,0.66,0.69
1933,"Sugar beets",0.66,0.69,0.62
1934,"Sugar beets",0.69,0.62,0.61
1935,"Sugar beets",0.62,0.61,0.66
1936,"Sugar beets",0.61,0.66,0.64
1937,"Sugar beets",0.66,0.64,0.73
1938,"Sugar beets",0.64,0.73,0.83
1939,"Sugar beets",0.73,0.83,0.74
1940,"Sugar beets",0.83,0.74,0.84
1941,"Sugar beets",0.74,0.84,0.91
1942,"Sugar beets",0.84,0.91,1.19
1943,"Sugar beets",0.91,1.19,1.23
1944,"Sugar beets",1.19,1.23,1.18
1945,"Sugar beets",1.23,1.18,1.35
1946,"Sugar beets",1.18,1.35,1.49
1947,"Sugar beets",1.35,1.49,1.56
1948,"Sugar beets",1.49,1.56,1.5
1949,"Sugar beets",1.56,1.5,1.72
1950,"Sugar beets",1.5,1.72,1.64
1951,"Sugar beets",1.72,1.64,1.62
1952,"Sugar beets",1.64,1.62,14.42
1953,"Sugar beets",1.62,14.42,13.28
1954,"Sugar beets",14.42,13.28,14.3
1955,"Sugar beets",13.28,14.3,18.07
1956,"Sugar beets",14.3,18.07,14.7
1957,"Sugar beets",18.07,14.7,16.15
1958,"Sugar beets",14.7,16.15,14.3
1959,"Sugar beets",16.15,14.3,15.67
1960,"Sugar beets",14.3,15.67,14.53
1961,"Sugar beets",15.67,14.53,19.72
1962,"Sugar beets",14.53,19.72,20.3
1963,"Sugar beets",19.72,20.3,16.22
1964,"Sugar beets",20.3,16.22,18.3
1965,"Sugar beets",16.22,18.3,18.12
1966,"Sugar beets",18.3,18.12,18.5
1967,"Sugar beets",18.12,18.5,18.43
1968,"Sugar beets",18.5,18.43,18.67
1969,"Sugar beets",18.43,18.67,17.43
1970,"Sugar beets",18.67,17.43,18.8
1971,"Sugar beets",17.43,18.8,20.7
1972,"Sugar beets",18.8,20.7,35.17
1973,"Sugar beets",20.7,35.17,53.07
1974,"Sugar beets",35.17,53.07,35.93
1975,"Sugar beets",53.07,35.93,30.5
1976,"Sugar beets",35.93,30.5,30.63
1977,"Sugar beets",30.5,30.63,32.07
1978,"Sugar beets",30.63,32.07,64.6
1979,"Sugar beets",32.07,64.6,58.33
1980,"Sugar beets",64.6,58.33,40.9
1981,"Sugar beets",58.33,40.9,31.33
1982,"Sugar beets",40.9,31.33,30.64
1983,"Sugar beets",31.33,30.64,25.83
1984,"Sugar beets",30.64,25.83,NULL
1949,"Sunflower seed",NULL,84,86
1950,"Sunflower seed",84,86,82
1951,"Sunflower seed",86,82,101
1952,"Sunflower seed",82,101,95
1953,"Sunflower seed",101,95,92
1954,"Sunflower seed",95,92,88
1955,"Sunflower seed",92,88,94
1956,"Sunflower seed",88,94,100
1957,"Sunflower seed",94,100,112.5
1958,"Sunflower seed",100,112.5,77
1959,"Sunflower seed",112.5,77,90.5
1960,"Sunflower seed",77,90.5,86
1961,"Sunflower seed",90.5,86,102
1962,"Sunflower seed",86,102,106.67
1963,"Sunflower seed",102,106.67,105.67
1964,"Sunflower seed",106.67,105.67,121.67
1965,"Sunflower seed",105.67,121.67,111
1966,"Sunflower seed",121.67,111,106
1967,"Sunflower seed",111,106,103.33
1968,"Sunflower seed",106,103.33,121
1969,"Sunflower seed",103.33,121,96.33
1970,"Sunflower seed",121,96.33,107.33
1971,"Sunflower seed",96.33,107.33,128.67
1972,"Sunflower seed",107.33,128.67,204.67
1973,"Sunflower seed",128.67,204.67,450
1974,"Sunflower seed",204.67,450,221
1975,"Sunflower seed",450,221,221
1976,"Sunflower seed",221,221,223
1977,"Sunflower seed",221,223,231.5
1978,"Sunflower seed",223,231.5,220
1979,"Sunflower seed",231.5,220,197.5
1980,"Sunflower seed",220,197.5,252.5
1981,"Sunflower seed",197.5,252.5,199.5
1982,"Sunflower seed",252.5,199.5,281.5
1983,"Sunflower seed",199.5,281.5,348.5
1984,"Sunflower seed",281.5,348.5,NULL
1908,"Tame hay",NULL,0.98,1.03
1909,"Tame hay",0.98,1.03,1.04
1910,"Tame hay",1.03,1.04,1.27
1911,"Tame hay",1.04,1.27,1.22
1912,"Tame hay",1.27,1.22,1.2
1913,"Tame hay",1.22,1.2,1.35
1914,"Tame hay",1.2,1.35,1.34
1915,"Tame hay",1.35,1.34,1.21
1916,"Tame hay",1.34,1.21,1.29
1917,"Tame hay",1.21,1.29,1.95
1918,"Tame hay",1.29,1.95,2.4
1919,"Tame hay",1.95,2.4,2.64
1920,"Tame hay",2.4,2.64,2.29
1921,"Tame hay",2.64,2.29,1.59
1922,"Tame hay",2.29,1.59,1.24
1923,"Tame hay",1.59,1.24,1.31
1924,"Tame hay",1.24,1.31,1.27
1925,"Tame hay",1.31,1.27,1.3
1926,"Tame hay",1.27,1.3,1.21
1927,"Tame hay",1.3,1.21,1.19
1928,"Tame hay",1.21,1.19,1.39
1929,"Tame hay",1.19,1.39,1.17
1930,"Tame hay",1.39,1.17,0.95
1931,"Tame hay",1.17,0.95,0.82
1932,"Tame hay",0.95,0.82,0.92
1933,"Tame hay",0.82,0.92,1.29
1934,"Tame hay",0.92,1.29,0.93
1935,"Tame hay",1.29,0.93,0.88
1936,"Tame hay",0.93,0.88,0.9
1937,"Tame hay",0.88,0.9,0.9
1938,"Tame hay",0.9,0.9,0.96
1939,"Tame hay",0.9,0.96,0.98
1940,"Tame hay",0.96,0.98,1.19
1941,"Tame hay",0.98,1.19,1.12
1942,"Tame hay",1.19,1.12,1.32
1943,"Tame hay",1.12,1.32,1.39
1944,"Tame hay",1.32,1.39,1.39
1945,"Tame hay",1.39,1.39,1.57
1946,"Tame hay",1.39,1.57,1.85
1947,"Tame hay",1.57,1.85,1.76
1948,"Tame hay",1.85,1.76,1.88
1949,"Tame hay",1.76,1.88,1.89
1950,"Tame hay",1.88,1.89,1.78
1951,"Tame hay",1.89,1.78,1.63
1952,"Tame hay",1.78,1.63,15.37
1953,"Tame hay",1.63,15.37,16.42
1954,"Tame hay",15.37,16.42,17.11
1955,"Tame hay",16.42,17.11,17.63
1956,"Tame hay",17.11,17.63,17.76
1957,"Tame hay",17.63,17.76,16.99
1958,"Tame hay",17.76,16.99,17.31
1959,"Tame hay",16.99,17.31,16.63
1960,"Tame hay",17.31,16.63,18.19
1961,"Tame hay",16.63,18.19,17.67
1962,"Tame hay",18.19,17.67,17.46
1963,"Tame hay",17.67,17.46,18.86
1964,"Tame hay",17.46,18.86,21.27
1965,"Tame hay",18.86,21.27,18.5
1966,"Tame hay",21.27,18.5,19.87
1967,"Tame hay",18.5,19.87,21.2
1968,"Tame hay",19.87,21.2,20.98
1969,"Tame hay",21.2,20.98,21.2
1970,"Tame hay",20.98,21.2,21.59
1971,"Tame hay",21.2,21.59,24.96
1972,"Tame hay",21.59,24.96,31.31
1973,"Tame hay",24.96,31.31,48.54
1974,"Tame hay",31.31,48.54,53.39
1975,"Tame hay",48.54,53.39,47.3
1976,"Tame hay",53.39,47.3,48.32
1977,"Tame hay",47.3,48.32,48.34
1978,"Tame hay",48.32,48.34,50.69
1979,"Tame hay",48.34,50.69,62.87
1980,"Tame hay",50.69,62.87,58.92
1981,"Tame hay",62.87,58.92,62.31
1982,"Tame hay",58.92,62.31,76.26
1983,"Tame hay",62.31,76.26,83.77
1984,"Tame hay",76.26,83.77,NULL
1908,"Wheat, all",NULL,34.25,36.12
1909,"Wheat, all",34.25,36.12,34.89
1910,"Wheat, all",36.12,34.89,32.78
1911,"Wheat, all",34.89,32.78,31.33
1912,"Wheat, all",32.78,31.33,33.78
1913,"Wheat, all",31.33,33.78,41.44
1914,"Wheat, all",33.78,41.44,38.56
1915,"Wheat, all",41.44,38.56,56
1916,"Wheat, all",38.56,56,77.33
1917,"Wheat, all",56,77.33,78.89
1918,"Wheat, all",77.33,78.89,95.89
1919,"Wheat, all",78.89,95.89,71.22
1920,"Wheat, all",95.89,71.22,41.67
1921,"Wheat, all",71.22,41.67,44
1922,"Wheat, all",41.67,44,39.78
1923,"Wheat, all",44,39.78,53.11
1924,"Wheat, all",39.78,53.11,53.44
1925,"Wheat, all",53.11,53.44,50.78
1926,"Wheat, all",53.44,50.78,48.33
1927,"Wheat, all",50.78,48.33,46
1928,"Wheat, all",48.33,46,51.22
1929,"Wheat, all",46,51.22,28
1930,"Wheat, all",51.22,28,23.22
1931,"Wheat, all",28,23.22,21.33
1932,"Wheat, all",23.22,21.33,26.11
1933,"Wheat, all",21.33,26.11,30.56
1934,"Wheat, all",26.11,30.56,30.33
1935,"Wheat, all",30.56,30.33,39
1936,"Wheat, all",30.33,39,43
1937,"Wheat, all",39,43,28.89
1938,"Wheat, all",43,28.89,28.44
1939,"Wheat, all",28.89,28.44,28.56
1940,"Wheat, all",28.44,28.56,30.67
1941,"Wheat, all",28.56,30.67,33.22
1942,"Wheat, all",30.67,33.22,40.67
1943,"Wheat, all",33.22,40.67,43
1944,"Wheat, all",40.67,43,50.33
1945,"Wheat, all",43,50.33,51.89
1946,"Wheat, all",50.33,51.89,57.22
1947,"Wheat, all",51.89,57.22,64.67
1948,"Wheat, all",57.22,64.67,63.56
1949,"Wheat, all",64.67,63.56,61.89
1950,"Wheat, all",63.56,61.89,66.67
1951,"Wheat, all",61.89,66.67,62.89
1952,"Wheat, all",66.67,62.89,56.56
1953,"Wheat, all",62.89,56.56,53.11
1954,"Wheat, all",56.56,53.11,56
1955,"Wheat, all",53.11,56,53.89
1956,"Wheat, all",56,53.89,52.33
1957,"Wheat, all",53.89,52.33,53.89
1958,"Wheat, all",52.33,53.89,54.56
1959,"Wheat, all",53.89,54.56,57.44
1960,"Wheat, all",54.56,57.44,60.33
1961,"Wheat, all",57.44,60.33,60.89
1962,"Wheat, all",60.33,60.89,62.44
1963,"Wheat, all",60.89,62.44,60.67
1964,"Wheat, all",62.44,60.67,61
1965,"Wheat, all",60.67,61,63.22
1966,"Wheat, all",61,63.22,62
1967,"Wheat, all",63.22,62,56.33
1968,"Wheat, all",62,56.33,52.22
1969,"Wheat, all",56.33,52.22,54.89
1970,"Wheat, all",52.22,54.89,54
1971,"Wheat, all",54.89,54,65.78
1972,"Wheat, all",54,65.78,139.33
1973,"Wheat, all",65.78,139.33,135.67
1974,"Wheat, all",139.33,135.67,125.33
1975,"Wheat, all",135.67,125.33,107.56
1976,"Wheat, all",125.33,107.56,101.11
1977,"Wheat, all",107.56,101.11,124.44
1978,"Wheat, all",101.11,124.44,156.78
1979,"Wheat, all",124.44,156.78,184.89
1980,"Wheat, all",156.78,184.89,175.11
1981,"Wheat, all",184.89,175.11,157
1982,"Wheat, all",175.11,157,164.67
1983,"Wheat, all",157,164.67,172.22
1984,"Wheat, all",164.67,172.22,NULL
